"觀測時間","測站氣壓","氣溫","相對溼度","風速","風向","最大瞬間風","最大瞬間風風向","降水量"
"01","1003.5","27.3","84","0.8","188","1.9","195","0.0"
"02","1003.3","27.4","83","0.3","104","1.3","190","0.0"
"03","1003.1","27.2","81","2.0","98","3.5","106","0.0"
"04","1002.9","27.0","84","0.2","0","2.7","98","0.0"
"05","1003.4","26.6","84","1.6","116","3.0","123","0.0"
"06","1003.7","26.7","80","1.2","107","3.0","99","0.0"
"07","1004.0","27.5","77","1.3","108","3.5","133","0.0"
"08","1004.5","27.8","76","2.2","115","4.1","112","0.0"
"09","1004.5","30.4","70","1.1","136","3.8","117","0.0"
"10","1004.1","30.9","65","1.3","115","4.1","111","0.0"
"11","1003.3","32.3","60","1.2","134","6.6","109","0.0"
"12","1002.1","33.8","54","2.2","120","6.6","155","0.0"
"13","1001.4","34.2","51","2.0","123","7.1","81","0.0"
"14","1000.8","33.8","53","3.9","112","9.9","132","0.0"
"15","1000.5","32.9","56","3.0","119","10.4","110","0.0"
"16","1000.7","31.9","60","3.3","117","9.9","110","0.0"
"17","1000.7","31.4","62","2.4","110","9.9","131","0.0"
"18","1001.0","30.8","64","1.5","106","8.8","121","0.0"
"19","1001.5","30.5","66","1.3","126","6.6","126","0.0"
"20","1002.1","30.1","67","0.8","110","6.6","116","0.0"
"21","1002.5","30.0","65","0.5","75","6.6","130","0.0"
"22","1002.3","29.7","67","0.5","69","5.5","125","0.0"
"23","1001.9","29.6","67","1.1","115","6.0","10","0.0"
"24","1001.4","29.6","66","1.1","63","5.5","96","0.0"