里別,性別,零歲,一歲,二歲,三歲,四歲,五歲,六歲,七歲,八歲,九歲,十歲,十一歲,十二歲,十三歲,十四歲,十五歲,十六歲,十七歲,十八歲,十九歲,二十歲,二一歲,二二歲,二三歲,二四歲,二五歲,二六歲,二七歲,二八歲,二九歲,三十歲,三一歲,三二歲,三三歲,三四歲,三五歲,三六歲,三七歲,三八歲,三九歲,四十歲,四一歲,四二歲,四三歲,四四歲,四五歲,四六歲,四七歲,四八歲,四九歲,五十歲,五一歲,五二歲,五三歲,五四歲,五五歲,五六歲,五七歲,五八歲,五九歲,六十歲,六一歲,六二歲,六三歲,六四歲,六五歲,六六歲,六七歲,六八歲,六九歲,七十歲,七一歲,七二歲,七三歲,七四歲,七五歲,七六歲,七七歲,七八歲,七九歲,八十歲,八一歲,八二歲,八三歲,八四歲,八五歲,八六歲,八七歲,八八歲,八九歲,九十歲,九一歲,九二歲,九三歲,九四歲,九五歲,九六歲,九七歲,九八歲,九九歲,一百歲以上
興和里,男,7,2,7,8,8,5,16,10,11,7,11,5,6,4,5,6,6,4,7,7,9,11,8,9,10,11,6,12,11,16,9,10,10,7,4,13,9,10,13,14,14,13,11,7,10,16,17,11,10,10,12,10,11,6,14,6,6,10,15,11,7,15,10,12,18,14,17,10,12,12,12,14,9,16,5,6,3,5,6,6,4,4,5,4,3,4,7,3,3,4,1,1,0,0,0,0,0,0,0,0,1
興和里,女,0,5,5,6,9,9,10,12,10,5,5,4,4,6,5,8,8,8,8,6,10,10,5,10,5,4,10,11,9,8,11,11,15,12,14,7,8,13,14,14,10,10,8,13,15,16,10,7,14,9,13,9,9,7,13,5,16,7,11,12,16,15,8,8,12,12,18,15,16,13,16,12,15,13,12,10,5,6,6,2,8,11,11,5,3,4,4,3,2,2,0,1,4,1,2,1,2,0,0,0,1
福仁里,男,6,5,1,6,3,4,6,9,9,8,12,8,1,3,4,6,4,4,6,4,1,7,7,3,7,9,9,13,9,8,8,3,8,6,10,5,7,9,9,10,3,5,12,8,4,4,11,11,9,11,10,9,8,9,12,6,9,16,11,9,9,7,12,5,6,5,5,4,8,9,8,7,6,6,8,4,2,3,3,1,7,3,2,3,4,5,3,4,1,1,3,0,1,3,0,0,0,1,1,0,0
福仁里,女,1,4,2,3,4,2,5,7,6,9,3,6,7,3,6,4,6,2,4,4,8,8,9,6,4,8,7,11,5,5,4,7,8,4,6,8,6,5,4,7,6,11,4,6,6,4,4,8,8,11,12,11,5,3,13,5,10,8,1,6,11,8,7,1,5,4,9,8,9,10,12,6,10,5,7,2,5,4,8,3,4,2,8,4,1,4,6,6,5,2,0,0,1,0,1,2,0,0,1,0,0
一心里,男,18,24,18,26,21,24,30,25,29,36,29,19,27,28,24,28,20,41,24,30,33,33,48,47,39,51,51,41,37,50,46,50,57,56,46,49,40,44,37,39,48,45,34,42,31,45,43,31,39,43,41,23,36,43,53,48,35,41,41,41,58,48,49,52,45,30,34,30,34,28,34,38,10,14,16,19,4,7,10,9,9,4,9,15,6,4,3,4,7,12,2,2,1,3,1,1,2,0,0,0,1
一心里,女,22,26,26,20,20,10,23,26,24,21,29,16,20,26,14,25,25,19,25,22,25,20,36,35,38,43,51,61,42,44,44,42,40,36,40,30,30,40,47,33,45,43,43,49,34,50,50,37,39,37,30,41,44,42,45,51,50,54,52,53,50,55,38,48,35,34,36,37,32,32,28,21,17,27,20,16,8,6,11,14,16,12,9,10,12,12,7,5,11,1,2,5,4,4,1,0,0,2,0,0,0
一德里,男,28,19,28,27,17,38,28,37,31,25,39,26,16,18,36,21,24,31,37,35,45,58,43,59,64,63,71,51,48,53,55,44,44,59,48,28,46,46,50,42,49,55,54,56,51,42,49,37,46,49,56,40,58,49,37,51,59,43,52,43,36,42,61,41,51,43,41,37,28,35,41,23,26,21,19,14,14,15,13,15,14,11,12,12,6,8,3,0,4,1,1,1,5,2,2,0,1,0,0,0,0
一德里,女,15,16,22,25,19,21,30,32,24,30,34,26,26,18,29,32,23,29,35,28,36,51,50,45,47,53,46,53,50,55,43,36,50,41,51,39,44,62,59,45,65,52,49,48,43,48,56,56,51,55,51,49,49,54,45,35,52,58,35,67,54,50,44,44,52,41,44,41,35,38,39,33,25,24,19,25,20,10,13,6,17,15,18,14,12,8,9,4,5,6,2,4,7,1,4,1,1,5,0,1,2
月眉里,男,5,6,2,2,6,6,8,5,3,4,11,5,2,4,7,4,6,3,6,7,4,7,19,15,10,18,16,7,10,5,10,16,12,18,11,6,11,10,6,12,10,13,7,14,7,10,16,9,8,8,12,7,14,13,14,6,11,18,11,14,12,17,14,21,13,3,18,9,9,8,9,9,11,1,7,5,0,3,3,1,2,3,6,2,6,1,3,4,1,1,0,2,1,0,0,0,0,0,0,0,0
月眉里,女,5,3,8,1,4,4,8,9,6,7,8,1,4,6,2,6,7,3,9,5,6,5,12,10,12,6,8,6,10,13,8,6,15,3,13,10,11,11,5,14,6,12,14,8,12,8,5,9,14,7,9,12,11,3,11,8,13,9,12,16,16,9,7,6,8,3,10,9,7,11,5,5,8,5,3,3,4,2,4,4,3,1,6,5,3,5,2,5,1,2,1,6,0,1,0,0,1,0,1,0,0
永福里,男,0,1,4,6,4,2,4,0,1,2,2,3,1,2,0,0,3,4,6,3,1,4,11,4,6,4,5,6,5,9,6,9,10,8,6,6,1,3,8,7,9,13,6,6,6,10,9,7,3,8,7,9,8,5,14,15,12,15,9,13,10,9,13,19,17,5,11,14,9,8,10,14,8,5,4,6,3,5,3,4,8,1,5,2,1,3,2,1,1,1,3,4,0,0,0,1,1,0,0,0,0
永福里,女,8,2,2,4,1,1,1,3,2,1,1,2,2,0,5,2,2,2,5,1,3,7,3,3,5,4,2,4,3,12,5,5,1,7,3,6,5,5,8,4,5,6,7,6,10,8,7,5,5,7,2,5,5,9,9,9,11,5,5,8,6,8,9,10,9,10,7,10,15,9,6,9,3,4,4,1,2,2,4,5,4,4,7,1,2,6,2,4,3,2,3,3,1,0,0,2,0,0,0,0,0
美華里,男,14,12,12,11,15,11,13,5,16,7,16,9,11,12,11,11,13,9,12,13,22,13,15,20,32,30,26,35,27,28,38,35,25,28,25,27,18,15,23,32,25,38,30,21,34,26,25,18,32,24,24,24,42,29,32,32,31,36,27,33,31,45,35,37,26,34,17,26,27,26,19,25,13,18,12,10,10,8,8,10,10,9,5,4,2,2,2,6,4,2,3,3,0,2,1,1,1,0,2,0,0
美華里,女,12,14,11,12,14,10,8,6,6,8,7,10,9,11,11,18,14,11,13,18,24,18,32,21,20,35,22,21,22,22,26,24,20,20,23,22,19,15,23,16,21,14,28,18,24,23,22,17,25,19,20,22,22,24,22,24,32,36,32,31,26,27,26,44,27,19,22,23,16,24,18,29,6,22,11,10,8,11,3,10,10,6,7,8,9,12,4,8,2,4,4,2,1,3,1,3,2,0,0,0,1
福安里,男,3,8,6,7,10,2,4,11,6,8,5,6,2,6,5,6,5,12,13,13,12,16,10,15,18,12,22,14,16,19,21,16,26,17,17,25,13,12,17,12,11,7,11,15,16,14,11,21,13,16,24,24,17,20,22,22,31,30,21,38,30,27,31,29,25,24,29,19,23,13,15,16,12,11,13,8,4,9,7,11,6,4,4,10,12,8,1,8,3,1,2,1,1,2,0,1,3,0,0,0,0
福安里,女,2,6,3,4,6,8,8,6,3,3,2,4,2,4,8,8,6,6,7,10,11,16,15,8,11,16,15,13,15,19,20,13,14,13,15,15,14,10,18,15,13,10,12,14,13,10,28,14,14,19,14,17,14,10,17,25,23,21,23,21,20,22,20,17,17,16,15,17,19,16,13,14,8,8,8,7,7,6,7,11,7,14,7,9,11,12,5,15,10,3,6,7,5,2,4,3,2,0,0,0,0
復興里,男,2,5,2,4,4,0,0,3,0,1,2,0,1,1,4,2,2,4,6,3,8,3,7,7,4,5,6,10,2,7,8,9,6,8,7,2,4,4,6,6,5,3,8,11,7,8,10,9,3,7,8,7,9,17,9,5,17,7,9,16,11,15,7,17,9,7,10,10,8,9,5,10,7,11,7,3,3,3,2,1,2,9,2,3,3,6,3,0,1,1,1,2,1,0,1,1,0,2,0,0,1
復興里,女,2,1,4,2,1,1,1,4,2,2,2,3,2,1,2,3,2,2,1,2,2,3,2,7,1,5,9,6,3,6,3,2,4,4,8,5,5,5,3,3,6,7,6,10,5,5,6,5,3,4,2,4,5,11,9,5,7,9,4,8,5,5,1,8,3,8,12,11,8,2,7,5,5,1,6,6,2,2,3,7,10,6,5,4,1,1,3,5,3,0,2,2,0,1,0,1,0,0,0,0,0
新峰里,男,2,2,2,4,2,5,1,2,1,2,3,4,0,2,2,5,0,4,5,6,3,6,6,7,4,7,6,10,6,5,5,5,3,6,2,3,5,1,6,6,2,9,6,7,9,12,8,5,14,3,10,5,9,13,8,15,10,12,5,11,9,12,10,10,5,7,6,11,7,2,4,3,7,2,0,3,3,7,4,3,2,4,6,4,3,5,3,1,0,0,3,1,1,0,1,0,0,0,0,0,0
新峰里,女,0,1,2,1,2,1,0,1,2,3,1,0,0,2,1,2,3,4,3,5,5,7,2,7,6,6,1,5,4,3,6,6,5,4,4,0,3,2,4,1,7,5,7,5,5,5,6,3,3,8,3,8,4,4,5,2,10,7,7,2,5,9,7,3,6,5,6,6,3,6,16,6,3,5,5,6,5,5,0,5,5,0,6,3,3,2,7,5,4,0,1,2,0,0,1,1,0,2,1,0,1
康安里,男,2,2,5,5,1,5,6,3,5,2,6,7,3,6,6,6,6,2,7,9,5,9,9,8,11,10,14,8,4,12,10,16,8,12,9,12,10,9,11,17,12,15,15,15,15,10,9,11,4,11,9,11,13,7,15,13,6,11,16,15,12,11,18,17,13,15,13,14,6,10,12,6,13,5,2,3,4,7,4,5,5,3,2,2,5,3,3,3,1,0,1,2,1,0,0,0,0,0,0,0,0
康安里,女,7,3,3,0,5,5,3,2,4,3,6,4,2,2,7,4,6,7,10,3,5,7,8,9,9,13,13,7,7,11,8,6,11,7,16,9,5,6,10,11,12,13,8,12,7,13,4,7,5,8,14,13,5,8,9,4,6,14,6,17,11,19,10,11,4,10,8,14,12,9,9,10,5,5,4,7,2,5,3,6,5,6,5,3,7,5,6,1,5,3,4,2,1,1,0,0,2,1,0,0,0
義和里,男,8,9,6,9,5,5,3,3,10,4,6,4,3,7,6,4,10,6,9,6,13,9,8,8,10,9,13,13,20,13,14,17,11,18,15,15,9,17,24,9,11,9,10,8,7,13,16,11,15,13,9,14,9,17,17,17,18,18,17,23,20,30,21,23,18,28,11,17,9,16,10,6,8,9,4,6,4,5,8,5,4,8,4,5,5,11,6,3,4,2,2,2,1,1,0,1,1,1,0,0,0
義和里,女,4,7,7,6,3,6,3,5,6,2,7,4,4,5,0,6,7,8,8,10,13,12,9,15,12,23,15,17,12,22,19,7,16,11,14,11,10,10,22,6,14,8,9,7,7,8,10,10,12,13,6,11,14,12,12,22,14,20,16,12,20,23,17,11,12,14,10,12,10,8,11,13,7,12,11,6,6,4,4,14,10,7,8,12,11,6,3,7,7,1,5,1,1,4,2,1,0,0,0,0,0
瑞興里,男,14,10,11,15,7,11,11,15,11,9,7,6,7,7,9,16,9,11,9,23,19,18,21,18,18,25,28,27,33,18,27,35,22,20,28,26,18,19,24,17,24,26,26,17,13,14,33,25,24,26,23,28,30,28,38,35,25,31,36,43,27,25,25,22,28,14,22,20,19,9,17,12,15,8,10,6,8,6,11,9,7,6,11,9,7,6,6,6,8,4,5,2,1,3,3,0,0,0,0,0,0
瑞興里,女,10,15,12,10,13,5,17,14,12,15,14,5,8,8,11,13,17,23,12,11,13,16,22,21,11,23,10,15,13,24,24,24,24,19,18,25,21,18,18,22,16,20,18,19,22,22,18,18,21,21,22,19,19,23,26,24,17,19,27,21,30,27,20,23,19,15,12,18,16,19,13,14,13,11,7,8,8,7,12,5,12,10,13,5,10,10,8,7,8,1,3,2,1,1,3,2,0,3,1,1,0
中新里,男,6,8,6,10,5,6,6,4,2,5,2,2,1,1,2,4,8,2,6,7,12,17,14,13,11,12,15,14,12,10,12,12,8,15,7,8,14,16,14,16,15,17,15,16,10,13,13,12,15,12,15,14,19,21,19,15,18,20,17,21,18,15,21,15,11,17,10,14,14,7,11,14,5,14,5,7,2,9,4,7,5,3,4,4,3,5,3,4,2,0,1,3,1,0,0,0,0,0,0,0,0
中新里,女,2,1,4,3,8,5,5,2,4,3,2,1,1,1,4,8,5,5,6,7,7,4,12,15,12,9,7,12,9,10,11,6,9,14,14,10,7,8,8,12,8,6,13,8,10,12,13,8,6,11,9,7,13,14,8,12,14,11,6,9,11,13,18,11,14,15,6,13,9,12,6,12,7,9,6,4,8,3,8,9,1,6,4,5,2,9,2,4,6,3,3,2,2,2,1,0,3,0,1,1,0
仁義里,男,5,7,13,13,11,13,15,8,18,15,11,16,9,16,15,17,13,17,10,26,19,30,23,21,24,20,26,19,25,18,21,18,12,20,19,14,18,31,28,24,17,19,26,18,38,28,32,24,35,39,27,43,34,30,19,20,22,19,24,16,9,17,20,13,28,19,16,17,14,9,11,13,7,15,7,7,7,6,7,8,5,1,5,1,0,1,3,4,2,2,8,6,7,6,2,4,2,4,2,1,0
仁義里,女,8,9,6,8,14,12,22,7,17,10,18,9,8,13,13,12,13,12,23,24,15,20,18,18,30,20,26,28,20,18,14,16,15,13,19,15,15,18,20,19,27,26,30,28,22,37,35,29,30,33,34,36,21,23,23,24,18,17,17,21,19,20,28,16,27,41,29,18,22,34,47,42,22,30,22,15,15,4,19,12,13,10,7,4,4,2,2,10,2,2,4,1,0,2,0,2,0,0,0,0,0
僑愛里,男,11,4,10,8,16,7,11,12,12,10,16,16,8,13,9,6,12,13,13,16,16,21,18,17,12,18,16,16,13,15,14,21,17,18,21,17,12,17,16,26,34,18,19,29,36,38,30,30,14,16,16,17,27,26,31,20,20,19,16,18,20,18,19,18,15,26,17,18,18,18,16,13,5,9,11,13,6,6,9,3,3,2,1,3,0,2,6,1,2,4,3,4,5,3,2,3,2,2,0,1,1
僑愛里,女,4,10,12,9,11,10,13,13,16,20,18,17,13,19,15,19,17,21,9,16,13,9,9,12,17,17,10,20,7,18,17,22,15,15,23,21,9,15,27,26,29,15,24,34,23,26,28,24,32,25,31,20,15,10,26,22,14,14,26,24,21,28,22,28,23,22,21,22,15,18,28,12,25,11,22,14,14,18,8,12,8,6,6,9,3,4,3,10,5,2,11,5,2,3,4,2,2,2,2,0,2
仁善里,男,21,20,29,27,31,24,31,24,39,31,46,31,21,30,25,37,39,29,38,35,41,32,55,53,32,45,41,54,43,47,40,40,54,33,40,40,36,42,46,53,60,72,59,47,43,70,59,38,40,47,33,54,43,46,49,37,35,46,32,44,31,30,29,27,35,24,25,24,31,14,15,28,15,11,10,16,6,4,6,5,10,3,5,4,5,4,1,4,1,4,0,3,2,2,0,1,0,0,1,0,0
仁善里,女,16,38,30,33,21,24,31,29,27,35,38,23,15,36,31,31,22,27,27,27,38,44,47,42,34,37,39,39,37,47,38,35,29,45,64,40,34,54,45,53,56,64,67,66,51,55,54,51,48,44,47,45,54,41,48,30,46,36,31,32,32,40,37,29,28,28,27,30,26,27,16,22,20,15,11,9,12,7,10,8,7,6,4,5,8,5,4,4,6,5,0,2,0,1,1,2,2,0,0,0,0
仁愛里,男,24,27,23,35,23,31,32,41,34,34,48,39,48,47,39,48,37,29,50,33,40,47,51,51,41,70,52,59,60,52,47,42,42,45,48,48,44,53,59,60,68,54,52,52,57,47,58,49,49,38,40,57,63,52,42,43,49,38,44,41,50,34,43,31,38,39,24,32,28,26,23,23,18,15,20,18,4,8,7,10,11,4,4,3,3,4,3,4,6,1,2,2,0,1,0,0,0,0,0,0,0
仁愛里,女,21,30,25,24,30,35,33,43,33,28,49,42,34,31,25,24,27,30,37,43,36,36,40,50,48,47,46,52,43,60,42,59,47,42,55,45,40,45,38,59,54,51,65,68,56,54,59,43,46,54,45,54,44,52,30,48,48,36,48,37,57,39,40,36,35,40,35,38,31,32,26,28,24,20,17,9,19,9,11,10,1,5,9,10,10,4,6,4,6,2,2,2,2,2,0,1,0,2,0,0,0
仁武里,男,15,25,22,22,25,23,26,18,18,15,18,21,22,23,22,25,20,30,18,24,22,18,30,25,38,27,23,22,38,33,33,22,25,30,29,25,17,32,41,33,28,36,37,28,42,30,29,36,28,26,32,33,36,33,25,28,20,27,26,25,15,23,28,26,23,17,32,29,11,21,22,16,20,6,9,10,8,4,8,10,3,5,2,0,3,3,2,3,2,2,4,2,0,0,0,0,2,1,0,0,1
仁武里,女,23,11,21,16,11,22,26,22,16,12,32,19,15,18,19,20,24,21,17,29,20,16,25,28,13,27,20,25,24,25,26,31,32,25,34,28,32,28,39,33,33,37,37,33,48,34,32,32,30,26,29,25,25,33,27,23,24,23,26,36,18,34,28,22,30,27,27,19,32,14,26,27,21,15,17,10,16,4,4,9,7,6,9,4,4,0,6,3,6,2,3,2,0,2,1,1,0,0,0,0,1
員林里,男,11,7,10,4,12,8,11,8,9,8,14,16,8,9,7,11,11,14,10,11,11,14,16,16,12,18,11,14,16,21,17,15,15,21,7,12,14,14,14,18,25,11,16,13,22,21,14,15,12,7,16,13,19,16,13,19,14,23,16,10,13,13,15,11,15,10,18,9,9,12,11,6,6,7,5,6,4,2,2,4,2,2,1,1,0,0,2,3,0,2,0,1,0,0,0,1,0,0,0,0,0
員林里,女,9,6,7,13,11,11,10,13,9,13,14,10,7,7,4,11,5,10,10,5,13,13,24,9,12,13,17,15,16,8,18,12,22,15,14,20,12,10,21,19,26,13,17,17,20,13,15,12,14,20,11,13,15,18,15,14,7,18,16,14,12,13,16,11,13,11,11,6,14,13,8,6,10,10,5,10,3,1,2,3,7,5,5,3,2,1,4,3,6,0,1,2,0,1,1,0,0,0,1,1,0
南興里,男,17,28,24,26,25,28,28,22,23,23,29,27,26,19,35,28,34,41,31,33,41,43,43,50,34,45,50,42,49,59,55,54,58,52,36,44,41,38,64,69,79,55,52,50,68,48,44,50,40,49,48,54,51,46,34,58,42,53,45,51,42,53,41,53,41,42,32,43,34,31,27,28,19,28,18,21,10,10,22,20,8,14,9,9,3,8,5,3,5,4,4,2,5,0,1,0,1,0,0,0,0
南興里,女,17,21,24,20,22,20,19,19,23,24,20,31,18,17,14,27,25,21,28,42,29,40,35,37,37,41,55,47,38,40,45,37,43,34,43,43,26,49,43,53,47,54,48,55,43,47,48,32,35,41,37,43,42,36,26,39,44,53,48,41,46,33,43,49,39,44,36,44,27,38,28,38,25,20,19,12,13,12,14,10,11,8,11,11,5,11,8,11,12,12,6,3,5,4,1,1,0,1,1,1,1
瑞源里,男,17,23,21,29,23,11,23,21,28,14,20,18,18,28,24,10,14,13,14,29,19,20,25,25,29,37,32,33,35,38,40,50,48,36,26,42,23,29,34,39,27,43,27,27,33,21,39,27,34,24,30,26,35,32,30,46,28,40,46,35,54,26,24,36,54,37,24,24,32,19,16,13,19,19,17,7,6,11,8,11,9,5,6,9,6,3,8,2,5,4,3,2,5,3,3,1,0,1,1,0,0
瑞源里,女,12,11,13,14,24,20,31,15,15,15,17,27,9,16,14,11,11,16,19,24,23,32,29,23,34,41,36,33,27,35,32,46,41,36,26,23,31,27,37,31,36,27,34,29,19,22,31,35,36,20,23,30,37,34,35,28,31,32,38,46,35,34,35,28,38,21,18,29,30,16,19,14,16,12,12,3,19,6,15,12,10,5,12,6,5,6,3,5,5,4,9,6,3,0,2,3,2,2,0,0,0
光明里,男,8,7,9,10,14,9,7,9,7,9,8,11,11,12,16,11,16,19,12,18,16,13,15,16,23,22,29,29,28,29,25,23,22,17,11,9,12,25,21,25,20,30,26,26,19,26,21,16,19,18,11,23,19,21,24,20,20,19,28,16,23,18,18,20,21,13,17,16,14,16,18,20,12,7,11,8,6,2,3,5,2,3,3,2,3,2,1,2,1,2,3,5,2,4,2,2,2,1,0,0,0
光明里,女,14,7,9,15,10,7,10,9,9,9,12,11,8,9,17,12,6,11,11,14,16,26,15,20,16,14,18,14,26,11,24,12,16,17,19,21,20,20,18,25,23,25,22,18,11,21,29,23,15,29,27,13,33,21,20,18,23,26,20,25,20,29,24,13,29,18,32,25,21,20,25,29,25,10,14,10,10,9,13,7,5,4,4,4,4,3,1,6,0,2,1,2,1,1,1,0,1,0,0,0,0
三元里,男,12,10,16,21,20,17,20,18,11,21,24,10,13,17,10,18,20,15,17,16,24,22,23,15,14,21,25,15,27,32,23,25,26,26,33,22,25,32,39,27,35,34,27,26,21,25,23,26,26,25,27,25,16,24,38,19,23,21,19,20,8,16,22,21,18,26,19,22,12,21,15,18,14,13,5,9,3,2,3,4,5,4,3,2,3,4,4,3,5,4,10,5,8,1,4,7,4,0,0,0,0
三元里,女,11,11,14,16,16,24,14,21,25,10,20,9,5,13,25,11,6,21,15,14,10,25,21,27,21,30,22,23,26,22,24,22,31,23,33,20,29,23,28,41,25,30,30,23,21,28,26,30,23,18,32,23,28,24,30,31,33,19,21,22,24,19,20,33,21,26,32,27,24,33,21,31,24,25,10,18,9,12,5,12,10,5,3,11,7,4,4,3,1,4,1,2,5,1,1,2,1,0,0,0,0
田心里,男,23,29,21,22,15,33,21,25,27,17,31,20,20,26,17,16,25,17,30,32,36,32,28,56,29,52,45,50,36,47,38,36,49,42,37,47,42,44,38,44,43,40,44,34,38,34,45,33,32,25,30,36,30,35,33,37,41,41,34,34,48,45,31,35,37,38,27,38,24,33,28,32,23,17,17,6,6,7,9,6,10,9,8,4,8,8,5,7,1,5,4,2,2,6,0,0,1,1,0,0,0
田心里,女,28,22,19,19,25,22,13,15,14,17,26,18,9,23,27,10,22,22,26,25,30,30,40,34,35,40,45,50,37,34,38,40,52,25,39,41,31,39,35,43,36,30,39,35,32,35,44,40,29,25,38,31,46,45,35,35,45,49,46,53,51,52,39,43,21,34,48,34,29,24,23,29,13,27,18,14,6,9,12,7,8,13,17,8,12,10,6,9,4,2,3,4,2,8,1,4,1,0,1,2,2
仁文里,男,23,16,21,11,25,33,28,18,34,27,15,28,21,20,24,23,22,21,33,25,30,29,33,31,25,38,37,28,32,30,35,34,31,37,44,40,28,37,44,40,44,54,36,45,44,26,35,43,36,27,33,36,27,29,29,37,27,28,23,32,21,31,31,32,29,25,31,21,33,22,20,31,25,18,9,13,5,5,6,5,7,7,10,3,6,5,0,2,1,2,2,4,7,0,1,0,2,0,0,0,1
仁文里,女,18,14,20,18,31,26,15,26,16,18,19,20,19,16,25,22,14,28,13,24,25,25,44,29,20,36,37,25,24,23,29,36,26,29,39,34,37,45,34,36,31,49,33,43,39,35,44,41,37,36,34,37,30,33,33,25,40,48,32,39,31,24,37,38,37,40,37,31,40,29,30,26,26,21,16,20,6,15,13,11,5,8,6,2,5,4,5,6,5,2,4,4,3,2,0,3,0,0,0,0,0
仁和里,男,23,30,23,33,42,35,46,37,49,46,51,38,43,52,37,52,39,44,36,38,44,51,44,42,31,53,46,41,43,45,49,53,45,41,47,31,51,44,43,60,59,56,58,62,47,58,53,41,42,47,48,38,34,48,37,35,41,39,36,42,37,28,25,40,33,39,29,27,25,29,32,26,26,22,12,18,14,6,14,4,3,6,5,1,5,5,3,5,4,2,7,1,0,3,1,0,0,0,0,0,0
仁和里,女,26,26,29,24,35,45,66,53,55,38,53,41,34,33,31,30,35,41,31,30,30,43,39,45,45,42,38,52,42,48,38,51,46,46,40,43,41,58,58,53,52,56,68,61,61,32,50,40,57,49,39,47,39,38,49,63,40,41,37,35,34,49,34,37,34,48,35,45,32,22,29,30,24,21,11,16,9,6,9,15,10,7,3,6,7,4,3,6,4,2,1,0,3,0,1,0,0,0,0,0,0
仁美里,男,12,18,22,18,17,25,20,16,12,16,19,21,23,19,22,26,21,17,19,21,23,24,39,30,24,38,27,34,34,40,22,32,28,31,45,22,30,27,46,28,38,36,32,44,31,41,38,41,32,29,25,32,27,23,25,28,22,17,21,29,28,24,22,21,30,20,27,28,21,17,22,18,11,9,17,7,7,3,6,5,4,3,6,3,3,5,2,0,0,1,0,1,2,2,0,0,0,0,0,0,0
仁美里,女,16,17,19,16,14,15,22,23,22,18,24,19,19,15,17,16,24,15,23,28,19,20,21,22,18,30,26,27,19,34,27,32,25,29,32,21,26,29,30,33,21,33,31,35,32,47,46,32,26,33,30,25,21,23,25,38,32,31,25,44,25,37,26,27,33,24,36,33,24,20,22,17,15,18,11,19,10,7,9,8,9,9,5,3,4,2,2,5,4,0,1,4,0,3,0,1,1,0,0,0,0
